[4811.9796, 'N', 300.9169, 'W', 161040.0]
[4811.9789, 'N', 300.9162, 'W', 161041.0]
[4811.9782, 'N', 300.9156, 'W', 161042.0]
[4811.9774, 'N', 300.9149, 'W', 161043.0]
[4811.9768, 'N', 300.9143, 'W', 161044.0]
[4811.976, 'N', 300.9137, 'W', 161045.0]
[4811.9753, 'N', 300.913, 'W', 161046.0]
[4811.9745, 'N', 300.9125, 'W', 161047.0]
[4811.9737, 'N', 300.912, 'W', 161048.0]
[4811.9729, 'N', 300.9115, 'W', 161049.0]
[4811.9722, 'N', 300.9109, 'W', 161050.0]
[4811.9715, 'N', 300.9106, 'W', 161051.0]
[4811.9708, 'N', 300.9102, 'W', 161052.0]
[4811.97, 'N', 300.9098, 'W', 161053.0]
[4811.9693, 'N', 300.9094, 'W', 161054.0]
[4811.9686, 'N', 300.9088, 'W', 161055.0]
[4811.9678, 'N', 300.9082, 'W', 161056.0]
[4811.9671, 'N', 300.9076, 'W', 161057.0]
[4811.9664, 'N', 300.907, 'W', 161058.0]
[4811.9657, 'N', 300.9064, 'W', 161059.0]
[4811.965, 'N', 300.9058, 'W', 161100.0]
[4811.9643, 'N', 300.9051, 'W', 161101.0]
[4811.9635, 'N', 300.9045, 'W', 161102.0]
[4811.9628, 'N', 300.9038, 'W', 161103.0]
[4811.962, 'N', 300.9032, 'W', 161104.0]
[4811.9613, 'N', 300.9026, 'W', 161105.0]
[4811.9605, 'N', 300.9019, 'W', 161106.0]
[4811.9598, 'N', 300.9013, 'W', 161107.0]
[4811.959, 'N', 300.9006, 'W', 161108.0]
[4811.9583, 'N', 300.8999, 'W', 161109.0]
[4811.9575, 'N', 300.8993, 'W', 161110.0]
[4811.9567, 'N', 300.8986, 'W', 161111.0]
[4811.9559, 'N', 300.8979, 'W', 161112.0]
[4811.9552, 'N', 300.8973, 'W', 161113.0]
[4811.9544, 'N', 300.8967, 'W', 161114.0]
[4811.9537, 'N', 300.8961, 'W', 161115.0]
[4811.9529, 'N', 300.8955, 'W', 161116.0]
[4811.9521, 'N', 300.8949, 'W', 161117.0]
[4811.9513, 'N', 300.8943, 'W', 161118.0]
[4811.9505, 'N', 300.8938, 'W', 161119.0]
[4811.9497, 'N', 300.8933, 'W', 161120.0]
[4811.949, 'N', 300.8927, 'W', 161121.0]
[4811.9482, 'N', 300.8923, 'W', 161122.0]
[4811.9474, 'N', 300.8916, 'W', 161123.0]
[4811.9466, 'N', 300.891, 'W', 161124.0]
