[4811.9958, 'N', 300.9238, 'W', 95650.0]
[4811.996, 'N', 300.9236, 'W', 95651.0]
[4811.9962, 'N', 300.9235, 'W', 95652.0]
[4811.9965, 'N', 300.9233, 'W', 95653.0]
[4811.9967, 'N', 300.9232, 'W', 95654.0]
[4811.9969, 'N', 300.923, 'W', 95655.0]
[4811.9971, 'N', 300.9228, 'W', 95656.0]
[4811.9974, 'N', 300.9227, 'W', 95657.0]
[4811.9976, 'N', 300.9225, 'W', 95658.0]
[4811.9979, 'N', 300.9224, 'W', 95659.0]
[4811.9981, 'N', 300.9222, 'W', 95700.0]
[4811.9984, 'N', 300.9221, 'W', 95701.0]
[4811.9986, 'N', 300.9219, 'W', 95702.0]
[4811.9989, 'N', 300.9218, 'W', 95703.0]
[4811.9991, 'N', 300.9216, 'W', 95704.0]
[4811.9994, 'N', 300.9215, 'W', 95705.0]
[4811.9997, 'N', 300.9213, 'W', 95706.0]
[4812.0, 'N', 300.9212, 'W', 95707.0]
[4812.0003, 'N', 300.921, 'W', 95708.0]
[4812.0006, 'N', 300.9208, 'W', 95709.0]
[4812.0009, 'N', 300.9207, 'W', 95710.0]
[4812.0012, 'N', 300.9205, 'W', 95711.0]
[4812.0015, 'N', 300.9202, 'W', 95712.0]
[4812.0018, 'N', 300.92, 'W', 95713.0]
[4812.0021, 'N', 300.9198, 'W', 95714.0]
[4812.0024, 'N', 300.9196, 'W', 95715.0]
[4812.0027, 'N', 300.9195, 'W', 95716.0]
[4812.003, 'N', 300.9193, 'W', 95717.0]
[4812.0034, 'N', 300.9191, 'W', 95718.0]
[4812.0037, 'N', 300.919, 'W', 95719.0]
[4812.004, 'N', 300.9189, 'W', 95720.0]
[4812.0044, 'N', 300.9187, 'W', 95721.0]
[4812.0047, 'N', 300.9186, 'W', 95722.0]
[4812.0051, 'N', 300.9185, 'W', 95723.0]
[4812.0055, 'N', 300.9185, 'W', 95724.0]
[4812.0059, 'N', 300.9184, 'W', 95725.0]
[4812.0063, 'N', 300.9184, 'W', 95726.0]
[4812.0067, 'N', 300.9184, 'W', 95727.0]
[4812.007, 'N', 300.9184, 'W', 95728.0]
[4812.0074, 'N', 300.9184, 'W', 95729.0]
[4812.0079, 'N', 300.9184, 'W', 95730.0]
[4812.0083, 'N', 300.9185, 'W', 95731.0]
[4812.0087, 'N', 300.9186, 'W', 95732.0]
[4812.0091, 'N', 300.9187, 'W', 95733.0]
[4812.0096, 'N', 300.9187, 'W', 95734.0]
[4812.01, 'N', 300.9187, 'W', 95735.0]
[4812.0104, 'N', 300.9188, 'W', 95736.0]
[4812.0108, 'N', 300.9189, 'W', 95737.0]
[4812.0111, 'N', 300.9191, 'W', 95738.0]
[4812.0115, 'N', 300.9193, 'W', 95739.0]
[4812.0119, 'N', 300.9195, 'W', 95740.0]
[4812.0122, 'N', 300.9197, 'W', 95741.0]
[4812.0127, 'N', 300.9199, 'W', 95742.0]
[4812.013, 'N', 300.9201, 'W', 95743.0]
[4812.0134, 'N', 300.9204, 'W', 95744.0]
[4812.0151, 'N', 300.9209, 'W', 95757.0]
[4812.0151, 'N', 300.9209, 'W', 95758.0]
[4812.0152, 'N', 300.9208, 'W', 95759.0]
[4812.0153, 'N', 300.9202, 'W', 95800.0]
[4812.0154, 'N', 300.9191, 'W', 95801.0]
[4812.0151, 'N', 300.9178, 'W', 95802.0]
[4812.0146, 'N', 300.9166, 'W', 95803.0]
[4812.014, 'N', 300.9156, 'W', 95804.0]
[4812.0133, 'N', 300.9146, 'W', 95805.0]
[4812.0125, 'N', 300.9138, 'W', 95806.0]
[4812.0117, 'N', 300.913, 'W', 95807.0]
[4812.011, 'N', 300.9123, 'W', 95808.0]
[4812.0102, 'N', 300.9116, 'W', 95809.0]
